experiment_id,dataset,model,beta,corruption,severity,accuracy,mean_confidence,mean_entropy
cifar10_vib_beta_0_001,cifar10,vib,0.001,salt_pepper,0.3,0.3322,0.6644027996063232,1.0023800800323486
cifar10_vib_beta_0_001,cifar10,vib,0.001,salt_pepper,0.4,0.2844,0.6528669772148132,1.032547292327881
cifar10_vib_beta_0_001,cifar10,vib,0.001,blur,0.0,0.7013,0.7526539873123169,0.6976442844390869
cifar10_vib_beta_0_001,cifar10,vib,0.001,blur,0.1,0.5145,0.647157325553894,0.9608353343963623
cifar10_vib_beta_0_001,cifar10,vib,0.001,blur,0.2,0.5145,0.647157325553894,0.9608353343963623
cifar10_vib_beta_0_001,cifar10,vib,0.001,blur,0.3,0.3315,0.5760724806785583,1.1363605974197388
cifar10_vib_beta_0_001,cifar10,vib,0.001,blur,0.4,0.3315,0.5760724806785583,1.1363605974197388
cifar10_vib_beta_0_001,cifar10,vib,0.001,contrast,0.0,0.7013,0.7526539873123169,0.6976442844390869
cifar10_vib_beta_0_001,cifar10,vib,0.001,contrast,0.1,0.688,0.739074747467041,0.7365522243499756
cifar10_vib_beta_0_001,cifar10,vib,0.001,contrast,0.2,0.6689,0.7205131481170655,0.7888374046325684
cifar10_vib_beta_0_001,cifar10,vib,0.001,contrast,0.3,0.6271,0.6933345673561097,0.8604980041503906
cifar10_vib_beta_0_001,cifar10,vib,0.001,contrast,0.4,0.5685,0.6585406444549561,0.9507945987701416
cifar10_vib_beta_0_003,cifar10,vib,0.003,gaussian,0.0,0.7041,0.7422579053878784,0.7396696338653564
cifar10_vib_beta_0_003,cifar10,vib,0.003,gaussian,0.1,0.5616,0.6785799018859864,0.9493224426269531
cifar10_vib_beta_0_003,cifar10,vib,0.003,gaussian,0.2,0.3523,0.6142881026268006,1.1748827758789062
cifar10_vib_beta_0_003,cifar10,vib,0.003,gaussian,0.3,0.2219,0.5997410161972045,1.199774903488159
cifar10_vib_beta_0_003,cifar10,vib,0.003,gaussian,0.4,0.1641,0.6136021295547486,1.1546792367935181
cifar10_vib_beta_0_003,cifar10,vib,0.003,salt_pepper,0.0,0.7041,0.7422579053878784,0.7396696338653564
cifar10_vib_beta_0_003,cifar10,vib,0.003,salt_pepper,0.1,0.559,0.6611087763786316,1.0025149927139283
cifar10_vib_beta_0_003,cifar10,vib,0.003,salt_pepper,0.2,0.4298,0.623585993385315,1.1371018928527832
cifar10_vib_beta_0_003,cifar10,vib,0.003,salt_pepper,0.3,0.3401,0.6048223013877869,1.2013443267822266
cifar10_vib_beta_0_003,cifar10,vib,0.003,salt_pepper,0.4,0.2777,0.5931521346092224,1.2291754880905152
cifar10_vib_beta_0_003,cifar10,vib,0.003,blur,0.0,0.7041,0.7422579053878784,0.7396696338653564
cifar10_vib_beta_0_003,cifar10,vib,0.003,blur,0.1,0.4924,0.6296678491592407,1.0120285396575928
cifar10_vib_beta_0_003,cifar10,vib,0.003,blur,0.2,0.4924,0.6296678491592407,1.0120285396575928
cifar10_vib_beta_0_003,cifar10,vib,0.003,blur,0.3,0.3409,0.5433729721069336,1.235994762802124
cifar10_vib_beta_0_003,cifar10,vib,0.003,blur,0.4,0.3409,0.5433729721069336,1.235994762802124
cifar10_vib_beta_0_003,cifar10,vib,0.003,contrast,0.0,0.7041,0.7422579053878784,0.7396696338653564
cifar10_vib_beta_0_003,cifar10,vib,0.003,contrast,0.1,0.6952,0.7266455865859985,0.7851942859649658
cifar10_vib_beta_0_003,cifar10,vib,0.003,contrast,0.2,0.6733,0.704917862701416,0.8455776203155517
cifar10_vib_beta_0_003,cifar10,vib,0.003,contrast,0.3,0.6371,0.6751978150367737,0.9263349091529847
cifar10_vib_beta_0_003,cifar10,vib,0.003,contrast,0.4,0.5783,0.6367894413948059,1.027092445373535
cifar10_vib_beta_0_01,cifar10,vib,0.01,gaussian,0.0,0.7004,0.7473862003326416,0.7337483359336853
cifar10_vib_beta_0_01,cifar10,vib,0.01,gaussian,0.1,0.554,0.6765400165557861,0.9693356395721435
cifar10_vib_beta_0_01,cifar10,vib,0.01,gaussian,0.2,0.36,0.59190930519104,1.2497881574630738
cifar10_vib_beta_0_01,cifar10,vib,0.01,gaussian,0.3,0.2128,0.6037825697898864,1.2256149974822999
cifar10_vib_beta_0_01,cifar10,vib,0.01,gaussian,0.4,0.1582,0.6462998746871949,1.1047935241699218
cifar10_vib_beta_0_01,cifar10,vib,0.01,salt_pepper,0.0,0.7004,0.7473862003326416,0.7337483359336853
cifar10_vib_beta_0_01,cifar10,vib,0.01,salt_pepper,0.1,0.5553,0.6647910062789917,1.0017518753051757
cifar10_vib_beta_0_01,cifar10,vib,0.01,salt_pepper,0.2,0.4417,0.6143096940994263,1.1685753574371338
cifar10_vib_beta_0_01,cifar10,vib,0.01,salt_pepper,0.3,0.3472,0.5872440792083741,1.2554279176712035
cifar10_vib_beta_0_01,cifar10,vib,0.01,salt_pepper,0.4,0.2779,0.5818709585666656,1.2776884006500244
cifar10_vib_beta_0_01,cifar10,vib,0.01,blur,0.0,0.7004,0.7473862003326416,0.7337483359336853
cifar10_vib_beta_0_01,cifar10,vib,0.01,blur,0.1,0.5071,0.634693995475769,1.0150703245162964
cifar10_vib_beta_0_01,cifar10,vib,0.01,blur,0.2,0.5071,0.634693995475769,1.0150703245162964
cifar10_vib_beta_0_01,cifar10,vib,0.01,blur,0.3,0.3216,0.5671745166778565,1.1842089834213256
cifar10_vib_beta_0_01,cifar10,vib,0.01,blur,0.4,0.3216,0.5671745166778565,1.1842089834213256
cifar10_vib_beta_0_01,cifar10,vib,0.01,contrast,0.0,0.7004,0.7473862003326416,0.7337483359336853
cifar10_vib_beta_0_01,cifar10,vib,0.01,contrast,0.1,0.6936,0.7341665433883667,0.7727477307319641
cifar10_vib_beta_0_01,cifar10,vib,0.01,contrast,0.2,0.6734,0.7147450326919556,0.8270935788154602
cifar10_vib_beta_0_01,cifar10,vib,0.01,contrast,0.3,0.6414,0.6870577049255371,0.902324641418457
cifar10_vib_beta_0_01,cifar10,vib,0.01,contrast,0.4,0.5829,0.6499625915527344,0.9996598589897155
cifar10_vib_beta_0_03,cifar10,vib,0.03,gaussian,0.0,0.6931,0.7157597162246704,0.828893779373169
cifar10_vib_beta_0_03,cifar10,vib,0.03,gaussian,0.1,0.5197,0.6678760730743408,1.003304881286621
cifar10_vib_beta_0_03,cifar10,vib,0.03,gaussian,0.2,0.3013,0.6437445439338684,1.142896964263916
cifar10_vib_beta_0_03,cifar10,vib,0.03,gaussian,0.3,0.1974,0.654072180557251,1.120350749206543
cifar10_vib_beta_0_03,cifar10,vib,0.03,gaussian,0.4,0.1457,0.6900000062942505,1.0226995803833008
cifar10_vib_beta_0_03,cifar10,vib,0.03,salt_pepper,0.0,0.6931,0.7157597162246704,0.828893779373169
cifar10_vib_beta_0_03,cifar10,vib,0.03,salt_pepper,0.1,0.5228,0.653191297340393,1.0432392486572266
cifar10_vib_beta_0_03,cifar10,vib,0.03,salt_pepper,0.2,0.3796,0.6347186840057373,1.1352657531738282
cifar10_vib_beta_0_03,cifar10,vib,0.03,salt_pepper,0.3,0.2906,0.634792793560028,1.1616097736358642
cifar10_vib_beta_0_03,cifar10,vib,0.03,salt_pepper,0.4,0.2345,0.6433232563018799,1.1493953815460205
cifar10_vib_beta_0_03,cifar10,vib,0.03,blur,0.0,0.6931,0.7157597162246704,0.828893779373169
cifar10_vib_beta_0_03,cifar10,vib,0.03,blur,0.1,0.5025,0.5989630613327026,1.1084292051315308
cifar10_vib_beta_0_03,cifar10,vib,0.03,blur,0.2,0.5025,0.5989630613327026,1.1084292051315308
cifar10_vib_beta_0_03,cifar10,vib,0.03,blur,0.3,0.3286,0.5112838302612305,1.3364973449707032
cifar10_vib_beta_0_03,cifar10,vib,0.03,blur,0.4,0.3286,0.5112838302612305,1.3364973449707032
cifar10_vib_beta_0_03,cifar10,vib,0.03,contrast,0.0,0.6931,0.7157597162246704,0.828893779373169
cifar10_vib_beta_0_03,cifar10,vib,0.03,contrast,0.1,0.6778,0.7005132341384888,0.8696683902740479
cifar10_vib_beta_0_03,cifar10,vib,0.03,contrast,0.2,0.6544,0.6795157030105591,0.924749643421173
cifar10_vib_beta_0_03,cifar10,vib,0.03,contrast,0.3,0.6141,0.6521171582221985,0.9965975113868714
